Camera,SessionNumber,SetNumber,Filename,AverageSpeeds,set_size
R,00,01E,R_00_01E.MOV,"[0.5050962450592885, 0.6070640316205534, 0.6284061264822135]",3
R,00,02E,R_00_02E.MOV,[0.48645405405405406],1
R,00,03E,R_00_03E.MOV,[0.446763829787234],1
R,00,04E,R_00_04E.MOV,[0.28322676056338025],1
R,00,05E,R_00_05E.MOV,[0.23485304735114862],1
R,01,01E,R_01_01E.MOV,"[0.5253485294117647, 0.568570588235294, 0.4930670838548185, 0.395497971602434, 0.3803541176470588]",5
R,01,02E,R_01_02E.MOV,"[0.3803400586701435, 0.5076415384615385, 0.474712139423077, 0.45923009049773766, 0.3576565384615385]",5
R,01,03E,R_01_03E.MOV,"[0.4896885561936013, 0.48396355410088565, 0.4422964011180992, 0.3395830188679245, 0.30469435254587757]",5
R,01,04E,R_01_04E.MOV,"[0.4219365839243499, 0.4432353202160494, 0.4063311899862826, 0.31072763310185186, 0.30804486531986536]",5
R,01,05E,R_01_05E.MOV,"[0.4983094749794914, 0.45504883018867925, 0.4137517241379311, 0.4445524528301887, 0.3875531819635433, 0.36832310595065315, 0.2801955974842767]",7
R,02,01E,R_02_01E.MOV,"[0.4741664150943396, 0.4114247460087082, 0.42074823780704884, 0.42448584905660386, 0.39817269116186693]",5
R,02,02E,R_02_02E.MOV,"[0.441875, 0.46556190476190473, 0.46613695652173914, 0.365348076923077, 0.36801875000000006]",5
R,02,03E,R_02_03E.MOV,"[0.44692499999999996, 0.4330632653061224, 0.38370648148148145, 0.36107500000000003, 0.28806642857142856]",5
R,02,04E,R_02_04E.MOV,"[0.41903323268921094, 0.457017382154882, 0.35589067796610163, 0.32267476851851856, 0.29626172839506176]",5
R,02,05E,R_02_05E.MOV,"[0.39866142857142856, 0.4031217391304347, 0.3839616, 0.305248064516129, 0.310252131147541, 0.22801662650602408]",6
R,03,01E,R_03_01E.MOV,"[0.4966484433962264, 0.5427613933236575, 0.5052416935112747, 0.4754241509433962, 0.4425972452830189]",5
R,03,02E,R_03_02E.MOV,"[0.37860842126623373, 0.5486811534749035, 0.5008344196428571, 0.49123188153310104, 0.44518615079365087]",5
R,03,03E,R_03_03E.MOV,"[0.4920142857142858, 0.5118535714285714, 0.46965, 0.4721749999999999, 0.39429607843137243]",5
R,03,04E,R_03_04E.MOV,"[0.47008391980360065, 0.5086903846153846, 0.5032229950900163, 0.4578101882160393, 0.4097733421750664]",5
R,03,05E,R_03_05E.MOV,"[0.5142342857142858, 0.5162945192307692, 0.491006350626118, 0.44482730769230777, 0.49689086538461535, 0.4290436298076923, 0.3877817307692307, 0.339809765625, 0.31473096719457017, 0.2470341176470588]",10
R,04,01E,R_04_01E.MOV,"[0.37740684485006526, 0.4236864406779661, 0.37868801870251306, 0.2786426150121065, 0.2705316384180791]",5
R,04,02E,R_04_02E.MOV,"[0.39752616632860044, 0.3926810344827586, 0.3991142810670136, 0.352550948275862, 0.3416843131712832]",5
R,04,03E,R_04_03E.MOV,"[0.4560947368421052, 0.4808131578947368, 0.44100852631578946, 0.36376786703601105, 0.30091457489878537]",5
R,04,04E,R_04_04E.MOV,"[0.3275367503259452, 0.45108332131265777, 0.3217315280720339, 0.33838785773826063, 0.31299314088983055]",5
R,04,05E,R_04_05E.MOV,"[0.428021836815136, 0.44676382978723406, 0.41690745762711856, 0.3794347457627119, 0.311510411622276, 0.2466542143838754, 0.15791949152542373]",7
